GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.exam.domain.vo,ValueObjects.AnswerText,0,16,0,4,0,4,0,3,0,1
JaCoCo Coverage Report,com.exam.domain.vo,ValueObjects.StudentId,0,20,0,4,0,5,0,4,0,2
JaCoCo Coverage Report,com.exam.domain.vo,ValueObjects,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.exam.domain.vo,ValueObjects.QuestionId,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.exam.domain.vo,ValueObjects.Calificacion,0,9,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.exam.domain.service,AttemptManager,0,25,1,3,0,7,1,3,0,2
JaCoCo Coverage Report,com.exam.domain.service,GradingService,0,40,1,5,0,9,1,4,0,2
JaCoCo Coverage Report,com.exam.application,StatsApplicationService,38,89,6,2,8,20,4,2,0,2
JaCoCo Coverage Report,com.exam.application,ExamApplicationService,38,138,4,6,5,36,6,7,3,5
JaCoCo Coverage Report,com.exam.domain.repository,Repositories,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.exam,MainSwing,88,0,0,0,28,0,4,0,4,0
JaCoCo Coverage Report,com.exam,Main,89,0,0,0,24,0,3,0,3,0
JaCoCo Coverage Report,com.exam.infrastructure,InMemoryExamAttemptRepository,0,39,1,3,0,9,1,5,0,4
JaCoCo Coverage Report,com.exam.infrastructure,CsvQuestionBankRepository,37,149,9,14,3,33,7,9,0,3
JaCoCo Coverage Report,com.exam.infrastructure,FileExamAttemptRepository,107,198,15,17,17,45,15,11,3,7
JaCoCo Coverage Report,com.exam.infrastructure,TxtExportService,6,57,0,0,2,11,0,2,0,2
JaCoCo Coverage Report,com.exam.presentation,SwingUI.FillBlankPanel,34,0,0,0,8,0,3,0,3,0
JaCoCo Coverage Report,com.exam.presentation,SwingUI.TrueFalsePanel,66,0,4,0,16,0,5,0,3,0
JaCoCo Coverage Report,com.exam.presentation,SwingUI.SingleChoicePanel,72,0,6,0,17,0,6,0,3,0
JaCoCo Coverage Report,com.exam.presentation,ConsoleUI,7,291,3,15,3,76,3,10,0,4
JaCoCo Coverage Report,com.exam.presentation,SwingUI.QuestionRendererFactory,122,0,8,0,25,0,7,0,3,0
JaCoCo Coverage Report,com.exam.presentation,SwingUI.MultipleChoicePanel,70,0,6,0,16,0,6,0,3,0
JaCoCo Coverage Report,com.exam.presentation,SwingUI,414,0,12,0,92,0,16,0,10,0
JaCoCo Coverage Report,com.exam.application.dto,DTOs,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.exam.application.dto,DTOs.ExamAttemptDTO,0,12,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.exam.application.dto,DTOs.CalificacionDTO,0,9,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.exam.domain.model,QuestionTypes.TrueFalseQuestion,0,24,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.exam.domain.model,QuestionTypes.SingleChoiceQuestion,15,18,0,0,3,4,2,2,2,2
JaCoCo Coverage Report,com.exam.domain.model,QuestionTypes.FillBlankQuestion,9,27,0,0,3,5,1,2,1,2
JaCoCo Coverage Report,com.exam.domain.model,ExamAttempt,0,62,1,1,0,22,1,10,0,10
JaCoCo Coverage Report,com.exam.domain.model,QuestionTypes.MultipleChoiceQuestion,15,32,0,0,3,6,2,2,2,2
JaCoCo Coverage Report,com.exam.domain.model,Question,0,18,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,com.exam.domain.model,QuestionTypes,3,0,0,0,1,0,1,0,1,0
